t_int,perc_diff,metric,scenario
1-16,-1.4149658977533277,Bmn,K_grad_dec
1-16,2.576207716823322,Hcm,K_grad_dec
17-32,-10.604497601576933,Bmn,K_grad_dec
17-32,11.848869397221993,Hcm,K_grad_dec
33-48,-22.440162187385717,Bmn,K_grad_dec
33-48,36.077006912006595,Hcm,K_grad_dec
1-50,-10.543742327644232,Bmn,K_grad_dec
1-50,12.94428772613944,Hcm,K_grad_dec
1-16,9.833871902117375,Bmn,K_grad_inc
1-16,-7.756803402272902,Hcm,K_grad_inc
17-32,17.94481443513432,Bmn,K_grad_inc
17-32,2.8452522225696084,Hcm,K_grad_inc
33-48,13.243879148036616,Bmn,K_grad_inc
33-48,3.5908652050980803,Hcm,K_grad_inc
1-50,13.841016114789406,Bmn,K_grad_inc
1-50,1.2065921787010283,Hcm,K_grad_inc
1-16,3.4063461008306795,Bmn,r_grad_dec
1-16,-4.205020597380591,Hcm,r_grad_dec
17-32,17.59466274386664,Bmn,r_grad_dec
17-32,-7.507112992912951,Hcm,r_grad_dec
33-48,42.418988253603104,Bmn,r_grad_dec
33-48,-10.485457849644469,Hcm,r_grad_dec
1-50,20.403659055276187,Bmn,r_grad_dec
1-50,-6.849115207603367,Hcm,r_grad_dec
1-16,-5.655057440989212,Bmn,r_grad_inc
1-16,33.6071473255603,Hcm,r_grad_inc
17-32,-26.73686779722693,Bmn,r_grad_inc
17-32,77.06085602203943,Hcm,r_grad_inc
33-48,-39.050367935420034,Bmn,r_grad_inc
33-48,106.06920329738658,Hcm,r_grad_inc
1-50,-26.997878876139424,Bmn,r_grad_inc
1-50,80.02793738498453,Hcm,r_grad_inc
1-16,1.878015065827813,Bmn,rK_grad_dec
1-16,-2.0716251822858065,Hcm,rK_grad_dec
17-32,4.361680956646593,Bmn,rK_grad_dec
17-32,-1.2564002975409336,Hcm,rK_grad_dec
33-48,5.091761142322156,Bmn,rK_grad_dec
33-48,-2.608421601863612,Hcm,rK_grad_dec
1-50,3.549454611277235,Bmn,rK_grad_dec
1-50,-1.9397736309711053,Hcm,rK_grad_dec
1-16,-0.1221752642990026,Bmn,rK_grad_inc
1-16,4.152217299847172,Hcm,rK_grad_inc
17-32,-12.726784088686264,Bmn,rK_grad_inc
17-32,57.75829480196782,Hcm,rK_grad_inc
33-48,-33.1784498026433,Bmn,rK_grad_inc
33-48,100.90606930515784,Hcm,rK_grad_inc
1-50,-24.25928718337036,Bmn,rK_grad_inc
1-50,78.93863434429306,Hcm,rK_grad_inc
